trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
280,False,"{'a': 0.8, 'e': 0.24659696394160643}",20,0,-22.216099663124954,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
281,False,"{'a': 0.8, 'e': 0.24536705645292634}",20,14,12.408542398567773,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.8, 'e': 0.2441432831534371}",25,12,-64.1166045426325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
283,False,"{'a': 0.8, 'e': 0.24292561344874244}",20,7,-22.58769565538862,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
284,False,"{'a': 0.8, 'e': 0.24171401689703645}",20,6,-21.601962259545928,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
285,False,"{'a': 0.8, 'e': 0.24050846320834213}",35,21,26.313578230448528,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.8, 'e': 0.23930892224375455}",20,13,13.084898676656765,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.8, 'e': 0.23811536401468703}",20,16,6.662000968337386,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.8, 'e': 0.23692775868212176}",25,2,-12.77653343518665,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
289,False,"{'a': 0.8, 'e': 0.23574607655586352}",30,12,-7.804732559959623,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
290,False,"{'a': 0.8, 'e': 0.23457028809379765}",30,12,-62.45869953606939,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
291,False,"{'a': 0.8, 'e': 0.23340036390115132}",30,10,28.827699017143473,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.8, 'e': 0.23223627472975883}",20,14,10.810683360993698,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.8, 'e': 0.23107799147733019}",25,14,19.207041650544216,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
